x,y,z
12.082834,54.104361,14.5
12.083692,54.105011,13.4
12.082885,54.105231,12.9
12.083202,54.106438,10.9
12.083183,54.106234,11.5
12.082905,54.106450,10.9
12.082440,54.102350,17.8
12.082301,54.101506,18.7
12.082386,54.102120,17.9
12.082349,54.102099,18.0
12.082451,54.102237,17.8
12.082393,54.102187,17.9
12.082353,54.102327,17.9
12.082567,54.102381,17.6
12.082561,54.102438,17.4
12.082440,54.102702,17.3
12.082510,54.103067,16.4
12.082452,54.104637,14.4
12.082364,54.105048,13.4
12.082696,54.105391,12.9
12.082134,54.104494,15.2
12.082551,54.101458,18.8
12.082064,54.101583,18.7
12.081970,54.102135,18.3
12.082274,54.101988,18.1
12.082268,54.102062,18.1
12.082187,54.102591,17.9
12.082074,54.102632,17.8
12.082036,54.102866,16.9
12.082062,54.103518,15.9
12.082002,54.104381,15.4
12.082088,54.104709,14.7
12.082010,54.104742,14.6
12.082385,54.105935,13.0
12.082052,54.106763,10.9
12.081846,54.101654,18.6
12.081694,54.101746,18.5
12.081834,54.102914,16.6
12.081753,54.103112,16.6
12.081818,54.103065,16.6
12.081630,54.103697,16.1
12.081680,54.103798,16.0
12.081789,54.103938,15.9
12.081758,54.103903,15.9
12.081665,54.103983,15.9
12.081678,54.104047,15.9
12.081969,54.104321,15.5
12.081892,54.104267,15.6
12.081847,54.104244,15.6
12.081853,54.104168,15.7
12.081819,54.104129,15.8
12.081768,54.104636,15.1
12.081796,54.105177,13.1
12.082052,54.105511,12.7
12.081950,54.106407,12.2
12.081577,54.102609,17.6
12.081490,54.102572,17.8
12.081532,54.103649,16.2
12.081632,54.103939,15.9
12.081545,54.103896,16.0
12.081566,54.101731,18.6
12.081398,54.102248,18.1
12.081391,54.102538,17.9
12.081476,54.102698,17.6
12.081511,54.102741,17.4
12.081392,54.102609,17.8
12.081617,54.103013,16.8
12.081324,54.103465,16.5
12.081483,54.103808,16.1
12.081436,54.103739,16.2
12.081406,54.104241,15.8
12.081322,54.104158,16.0
12.081361,54.104467,15.4
12.081497,54.104347,15.6
12.081467,54.104575,15.1
12.081419,54.104527,15.3
12.081621,54.105047,13.6
12.081627,54.106485,11.9
12.081203,54.102220,18.2
12.081286,54.102319,18.1
12.081148,54.102368,18.0
12.081351,54.102499,17.9
12.081296,54.102432,18.0
12.081237,54.103327,16.8
12.081186,54.103992,16.2
12.081034,54.101985,18.5
12.081064,54.102022,18.4
12.081027,54.102160,18.3
12.081192,54.102295,18.1
12.081142,54.102907,17.6
12.081112,54.102857,17.7
12.081069,54.102804,17.7
12.081046,54.103154,17.1
12.081082,54.103299,16.9
12.081012,54.103285,16.9
12.081269,54.103449,16.6
12.081215,54.103393,16.7
12.081121,54.103368,16.8
12.081357,54.103596,16.4
12.081292,54.103548,16.4
12.081050,54.103862,16.4
12.081178,54.104070,16.1
12.081216,54.104115,16.1
12.081067,54.104162,16.2
12.081007,54.104137,16.2
12.081251,54.104538,14.8
12.081361,54.104308,15.7
12.081040,54.104686,14.5
12.081332,54.105295,13.3
12.081289,54.105761,12.8
12.081322,54.106559,11.7
12.081431,54.106922,10.9
12.080995,54.102120,18.3
12.080933,54.102663,17.9
12.080948,54.102729,17.9
12.080834,54.105772,12.7
12.081088,54.101820,18.7
12.080885,54.101962,18.5
12.080836,54.101911,18.6
12.080897,54.102601,17.9
12.080774,54.102468,17.9
12.080740,54.102421,18.0
12.080664,54.102488,18.0
12.080786,54.102660,17.8
12.080674,54.102614,17.8
12.080747,54.102706,17.8
12.080971,54.103223,17.0
12.080934,54.103177,17.1
12.080687,54.103420,17.0
12.080661,54.103390,17.0
12.080800,54.103588,16.8
12.080735,54.103539,16.9
12.080906,54.103719,16.6
12.080844,54.103687,16.7
12.080873,54.103996,16.4
12.080931,54.104037,16.3
12.080711,54.104294,16.0
12.080965,54.104590,14.9
12.081113,54.105142,13.6
12.080688,54.105589,13.0
12.080786,54.105721,12.8
12.081017,54.106634,11.7
12.080806,54.106913,11.2
12.080921,54.107077,11.0
12.080559,54.103336,17.1
12.080485,54.105621,13.2
12.080547,54.105875,12.9
12.080488,54.102388,18.1
12.080614,54.102292,18.2
12.080557,54.102220,18.2
12.080483,54.102426,18.1
12.080494,54.103058,17.4
12.080387,54.103102,17.3
12.080525,54.103298,17.1
12.080378,54.103334,17.2
12.080689,54.103488,16.9
12.080622,54.103687,17.0
12.080506,54.103599,17.1
12.080448,54.103573,17.1
12.080451,54.105480,13.4
12.080471,54.105593,13.3
12.080401,54.105482,13.4
12.080307,54.105487,13.5
12.080403,54.105587,13.3
12.080384,54.105654,13.3
12.080312,54.105608,13.3
12.080460,54.105778,13.1
12.080324,54.105812,13.1
12.080460,54.105903,13.0
12.080416,54.105917,13.1
12.080372,54.105931,13.1
12.080327,54.105945,13.1
12.080602,54.105941,12.8
12.080720,54.106175,12.6
12.080565,54.106570,11.9
12.080685,54.106741,11.5
12.080576,54.106763,11.5
12.080402,54.107163,11.1
12.080294,54.105670,13.3
12.080211,54.105492,13.5
12.080162,54.105493,13.5
12.080219,54.105624,13.4
12.080173,54.105628,13.4
12.080248,54.105676,13.3
12.080159,54.105698,13.4
12.080158,54.105871,13.2
12.080237,54.105974,13.1
12.080174,54.105994,13.2
12.080361,54.102050,18.5
12.080391,54.102091,18.4
12.080317,54.102228,18.3
12.080324,54.102190,18.3
12.080013,54.105501,13.6
12.080082,54.105647,13.4
12.080052,54.105717,13.4
12.080062,54.105890,13.2
12.080016,54.105902,13.3
12.080198,54.106069,12.9
12.080273,54.106971,11.2
12.079912,54.102161,18.5
12.079873,54.102184,18.5
12.079949,54.103523,17.3
12.079864,54.105508,13.6
12.079760,54.102242,18.5
12.079926,54.102259,18.4
12.079824,54.103248,17.6
12.079839,54.103509,17.2
12.079702,54.103555,17.2
12.079682,54.103607,17.1
12.079853,54.104514,15.3
12.079807,54.104430,15.4
12.079681,54.104572,15.2
12.080311,54.104804,14.5
12.079717,54.105270,13.8
12.079727,54.105196,13.9
12.079711,54.105421,13.7
12.079764,54.105511,13.6
12.079712,54.105514,13.6
12.079874,54.105746,13.4
12.079737,54.106122,12.9
12.079794,54.106274,12.6
12.079815,54.106434,12.1
12.079969,54.106723,11.5
12.079657,54.102911,18.2
12.079697,54.103020,18.0
12.079567,54.103069,17.9
12.079757,54.103212,17.6
12.079703,54.106365,12.3
12.079527,54.102293,18.5
12.079441,54.102310,18.6
12.079434,54.102405,18.5
12.079559,54.103002,17.9
12.079439,54.102905,18.2
12.079455,54.102849,18.1
12.079610,54.103573,17.1
12.079533,54.103687,17.0
12.079410,54.103656,17.0
12.079491,54.104572,15.2
12.079471,54.105206,14.0
12.079378,54.105220,14.0
12.079647,54.105665,13.6
12.079618,54.105918,13.3
12.079478,54.106048,13.2
12.079670,54.106224,12.7
12.079557,54.106160,12.9
12.079525,54.106825,11.4
12.079626,54.107188,11.0
12.079420,54.102805,18.1
12.079234,54.105203,14.2
12.079333,54.105520,13.9
12.079319,54.106990,11.4
12.079314,54.102366,18.6
12.079160,54.102387,18.7
12.079309,54.102752,18.4
12.079117,54.102759,18.5
12.079133,54.103115,18.0
12.079165,54.103169,17.9
12.079130,54.103365,17.5
12.079088,54.103457,17.4
12.079332,54.103380,17.4
12.079292,54.103332,17.5
12.079218,54.104449,15.4
12.079273,54.104565,15.2
12.079234,54.104524,15.3
12.079300,54.105323,14.1
12.079210,54.105328,14.1
12.079164,54.105626,14.0
12.079142,54.105595,14.0
12.079206,54.105788,13.7
12.079263,54.105670,13.8
12.079379,54.105967,13.3
12.079305,54.105845,13.5
12.079083,54.106315,12.6
12.079043,54.106475,12.2
12.079349,54.106554,11.9
12.079290,54.106485,12.1
12.079171,54.106941,11.6
12.078909,54.104302,15.7
12.078992,54.104355,15.6
12.079026,54.104396,15.5
12.079024,54.104970,14.6
12.078914,54.104977,14.6
12.078972,54.106199,12.9
12.079069,54.102429,18.7
12.078862,54.102488,18.8
